0.125,0.0625,0.03126,0.015626,0.007812,0.003906,0.0019532,0.0009766,0.0004882,0.0002442,0.00012208,0.00006104,0.00003052,0.000015258,0.00000763,0.000003814,1.91E-06,9.54E-07,4.77E-07,2.38E-07,1.19E-07,5.96E-08,2.98E-08,1.49E-08,7.45E-09,3.73E-09,1.86E-09,9.31E-10,4.66E-10,2.33E-10,1.16E-10,5.82E-11,2.91E-11,1.46E-11,7.28E-12,3.64E-12,1.82E-12,9.09E-13,4.55E-13,2.27E-13,1.14E-13,5.68E-14,2.84E-14,1.42E-14,7.11E-15,3.55E-15,1.78E-15
-1,0.125,0.0625,0.03126,0.015626,0.007812,0.003906,0.0019532,0.0009766,0.0004882,0.0002442,0.00012208,0.00006104,0.00003052,0.000015258,0.00000763,0.000003814,1.91E-06,9.54E-07,4.77E-07,2.38E-07,1.19E-07,5.96E-08,2.98E-08,1.49E-08,7.45E-09,3.73E-09,1.86E-09,9.31E-10,4.66E-10,2.33E-10,1.16E-10,5.82E-11,2.91E-11,1.46E-11,7.28E-12,3.64E-12,1.82E-12,9.09E-13,4.55E-13,2.27E-13,1.14E-13,5.68E-14,2.84E-14,1.42E-14,7.11E-15,3.55E-15
-1,0.1875,0.09376,0.04688,0.02344,0.011718,0.00586,0.00293,0.0014648,0.0007324,0.0003662,0.0001831,0.00009156,0.00004578,0.00002288,0.000011444,0.000005722,0.000002862,1.43E-06,7.15E-07,3.58E-07,1.79E-07,8.94E-08,4.47E-08,2.24E-08,1.12E-08,5.59E-09,2.79E-09,1.40E-09,6.98E-10,3.49E-10,1.75E-10,8.73E-11,4.37E-11,2.18E-11,1.09E-11,5.46E-12,2.73E-12,1.36E-12,6.82E-13,3.41E-13,1.71E-13,8.53E-14,4.26E-14,2.13E-14,1.07E-14,5.33E-15
-1,-1,0.15626,0.07812,0.03906,0.019532,0.009766,0.004882,0.002442,0.0012208,0.0006104,0.0003052,0.00015258,0.0000763,0.00003814,0.000019074,0.000009536,0.000004768,0.000002384,0.000001192,0.000000596,0.000000298,1.49E-07,7.45E-08,3.73E-08,1.86E-08,9.31E-09,4.66E-09,2.33E-09,1.16E-09,5.82E-10,2.91E-10,1.46E-10,7.28E-11,3.64E-11,1.82E-11,9.09E-12,4.55E-12,2.27E-12,1.14E-12,5.68E-13,2.84E-13,1.42E-13,7.11E-14,3.55E-14,1.78E-14,8.88E-15
-1,-1,-1,0.10938,0.05468,0.02734,0.013672,0.006836,0.003418,0.001709,0.0008544,0.0004272,0.0002136,0.00010682,0.0000534,0.0000267,0.000013352,0.000006676,0.000003338,0.000001669,8.34E-07,4.17E-07,2.09E-07,1.04E-07,5.22E-08,2.61E-08,1.30E-08,6.52E-09,3.26E-09,1.63E-09,8.15E-10,4.07E-10,2.04E-10,1.02E-10,5.09E-11,2.55E-11,1.27E-11,6.37E-12,3.18E-12,1.59E-12,7.96E-13,3.98E-13,1.99E-13,9.95E-14,4.97E-14,2.49E-14,1.24E-14
-1,-1,-1,0.15626,0.07812,0.03906,0.019532,0.009766,0.004882,0.002442,0.0012208,0.0006104,0.0003052,0.00015258,0.0000763,0.00003814,0.000019074,0.000009536,0.000004768,0.000002384,0.000001192,0.000000596,0.000000298,1.49E-07,7.45E-08,3.73E-08,1.86E-08,9.31E-09,4.66E-09,2.33E-09,1.16E-09,5.82E-10,2.91E-10,1.46E-10,7.28E-11,3.64E-11,1.82E-11,9.09E-12,4.55E-12,2.27E-12,1.14E-12,5.68E-13,2.84E-13,1.42E-13,7.11E-14,3.55E-14,1.78E-14
-1,-1,-1,-1,0.10938,0.05468,0.02734,0.013672,0.006836,0.003418,0.001709,0.0008544,0.0004272,0.0002136,0.00010682,0.0000534,0.0000267,0.000013352,0.000006676,0.000003338,0.000001669,8.34E-07,4.17E-07,2.09E-07,1.04E-07,5.22E-08,2.61E-08,1.30E-08,6.52E-09,3.26E-09,1.63E-09,8.15E-10,4.07E-10,2.04E-10,1.02E-10,5.09E-11,2.55E-11,1.27E-11,6.37E-12,3.18E-12,1.59E-12,7.96E-13,3.98E-13,1.99E-13,9.95E-14,4.97E-14,2.49E-14
-1,-1,-1,-1,0.14844,0.07422,0.0371,0.018554,0.009278,0.004638,0.00232,0.0011596,0.0005798,0.00029,0.00014496,0.00007248,0.00003624,0.00001812,0.00000906,0.00000453,0.000002264,1.13E-06,5.66E-07,2.83E-07,1.42E-07,7.08E-08,3.54E-08,1.77E-08,8.85E-09,4.42E-09,2.21E-09,1.11E-09,5.53E-10,2.76E-10,1.38E-10,6.91E-11,3.46E-11,1.73E-11,8.64E-12,4.32E-12,2.16E-12,1.08E-12,5.40E-13,2.70E-13,1.35E-13,6.75E-14,3.38E-14
-1,-1,-1,-1,0.19532,0.09766,0.04882,0.02442,0.012208,0.006104,0.003052,0.0015258,0.000763,0.0003814,0.00019074,0.00009536,0.00004768,0.00002384,0.00001192,0.00000596,0.00000298,1.49E-06,0.000000745,3.73E-07,1.86E-07,9.31E-08,4.66E-08,2.33E-08,1.16E-08,5.82E-09,2.91E-09,1.46E-09,7.28E-10,3.64E-10,1.82E-10,9.09E-11,4.55E-11,2.27E-11,1.14E-11,5.68E-12,2.84E-12,1.42E-12,7.11E-13,3.55E-13,1.78E-13,8.88E-14,4.44E-14
-1,-1,-1,-1,-1,0.1289,0.06446,0.03222,0.016114,0.008056,0.004028,0.002014,0.001007,0.0005036,0.0002518,0.00012588,0.00006294,0.00003148,0.000015736,0.000007868,0.000003934,0.000001967,9.83E-07,4.92E-07,2.46E-07,1.23E-07,6.15E-08,3.07E-08,1.54E-08,7.68E-09,3.84E-09,1.92E-09,9.60E-10,4.80E-10,2.40E-10,1.20E-10,6.00E-11,3.00E-11,1.50E-11,7.50E-12,3.75E-12,1.88E-12,9.38E-13,4.69E-13,2.34E-13,1.17E-13,5.86E-14
